#      date    value 
 2016-01-01 0.8473944 
 2016-01-02 0.6493007 
 2016-01-03 0.5848337 
 2016-01-04 0.5685283 
 2016-01-05 0.5682266 
 2016-01-06 0.571263 
 2016-01-07 0.5771099 
 2016-01-08 0.5978902 
 2016-01-09 0.762329 
 2016-01-10 1.112292 
 2016-01-11 2.475202 
 2016-01-12 1.342751 
 2016-01-13 0.8743724 
 2016-01-14 0.7320424 
 2016-01-15 0.792189 
 2016-01-16 1.601055 
 2016-01-17 1.252151 
 2016-01-18 0.8985507 
 2016-01-19 0.7625912 
 2016-01-20 0.7179595 
 2016-01-21 0.7125437 
 2016-01-22 0.7210292 
 2016-01-23 0.7337806 
 2016-01-24 0.7473971 
 2016-01-25 0.7718393 
 2016-01-26 0.9442866 
 2016-01-27  2.39573 
 2016-01-28  1.52743 
 2016-01-29 1.245472 
 2016-01-30 1.846097 
 2016-01-31  1.36647 
 2016-02-01 1.558149 
 2016-02-02 1.511495 
 2016-02-03 1.413135 
 2016-02-04 2.412308 
 2016-02-05 1.482491 
 2016-02-06 1.121974 
 2016-02-07 1.024617 
 2016-02-08 1.024765 
 2016-02-09 1.064834 
 2016-02-10 1.074996 
 2016-02-11  1.05142 
 2016-02-12 1.037722 
 2016-02-13 1.050727 
 2016-02-14 1.059816 
 2016-02-15 1.061332 
 2016-02-16  1.06932 
 2016-02-17 1.094565 
 2016-02-18 1.141337 
 2016-02-19 1.371086 
 2016-02-20 3.201173 
 2016-02-21 3.480315 
 2016-02-22 1.740315 
 2016-02-23 1.346424 
 2016-02-24 1.263424 
 2016-02-25 1.370859 
 2016-02-26 1.340652 
 2016-02-27 1.324472 
 2016-02-28  1.59935 
 2016-02-29 3.059212 
 2016-03-01 2.710891 
 2016-03-02 2.053428 
 2016-03-03  1.97021 
 2016-03-04  1.60286 
 2016-03-05 1.715314 
 2016-03-06 1.481703 
 2016-03-07  1.40037 
 2016-03-08 1.786336 
 2016-03-09 2.401915 
 2016-03-10 2.356989 
 2016-03-11  4.45826 
 2016-03-12 3.754139 
 2016-03-13  2.03196 
 2016-03-14 3.271193 
 2016-03-15   3.6472 
 2016-03-16 3.311843 
 2016-03-17 2.194199 
 2016-03-18  1.67309 
 2016-03-19 1.452913 
 2016-03-20 1.452167 
 2016-03-21 1.429823 
 2016-03-22 1.390975 
 2016-03-23  1.38272 
 2016-03-24  1.51618 
 2016-03-25  3.47125 
 2016-03-26 3.875885 
 2016-03-27 1.826563 
 2016-03-28 1.439082 
 2016-03-29 1.963678 
 2016-03-30 1.561921 
 2016-03-31 1.633605 
 2016-04-01    8.962 
 2016-04-02  4.00734 
 2016-04-03  1.80827 
 2016-04-04 1.373978 
 2016-04-05 1.306617 
 2016-04-06 1.286263 
 2016-04-07 1.439397 
 2016-04-08 2.309553 
 2016-04-09 1.595245 
 2016-04-10 1.337056 
 2016-04-11 1.400294 
 2016-04-12 5.514871 
 2016-04-13 4.583312 
 2016-04-14 1.852474 
 2016-04-15 1.373802 
 2016-04-16 1.278064 
 2016-04-17 1.261275 
 2016-04-18 1.259486 
 2016-04-19 1.258617 
 2016-04-20 1.254582 
 2016-04-21 1.257881 
 2016-04-22 3.994994 
 2016-04-23 5.024558 
 2016-04-24 2.207078 
 2016-04-25 1.410821 
 2016-04-26 1.230323 
 2016-04-27 1.316004 
 2016-04-28 2.761005 
 2016-04-29 4.867468 
 2016-04-30 2.532296 
 2016-05-01 2.593217 
 2016-05-02 3.004519 
 2016-05-03 1.843835 
 2016-05-04 1.342389 
 2016-05-05 1.524875 
 2016-05-06 1.523981 
 2016-05-07 1.222446 
 2016-05-08 1.404514 
 2016-05-09 2.831829 
 2016-05-10 3.988794 
 2016-05-11 2.826814 
 2016-05-12 1.681351 
 2016-05-13 3.816109 
 2016-05-14 2.956681 
 2016-05-15  2.81293 
 2016-05-16 1.768218 
 2016-05-17 1.340511 
 2016-05-18 1.666844 
 2016-05-19 2.329021 
