#      date    value 
 2010-01-01 1.225061 
 2010-01-02  1.28766 
 2010-01-03 1.349695 
 2010-01-04 1.409618 
 2010-01-05 1.466861 
 2010-01-06 1.521353 
 2010-01-07 1.573055 
 2010-01-08 1.622037 
 2010-01-09 1.668258 
 2010-01-10 1.711864 
 2010-01-11 1.752975 
 2010-01-12 1.791435 
 2010-01-13 1.827314 
 2010-01-14 1.860776 
 2010-01-15 2.068595 
 2010-01-16 11.54965 
 2010-01-17 5.404923 
 2010-01-18 2.570174 
 2010-01-19 2.200264 
 2010-01-20 2.217992 
 2010-01-21 2.228816 
 2010-01-22 2.441297 
 2010-01-23 5.741463 
 2010-01-24 8.888213 
 2010-01-25 14.15425 
 2010-01-26  5.04107 
 2010-01-27 2.907243 
 2010-01-28  2.60619 
 2010-01-29 2.610397 
 2010-01-30 2.689777 
 2010-01-31  2.77749 
 2010-02-01 2.863788 
 2010-02-02 2.943714 
 2010-02-03 3.034732 
 2010-02-04 3.366726 
 2010-02-05 3.218215 
 2010-02-06 3.203419 
 2010-02-07 3.241748 
 2010-02-08 3.281871 
 2010-02-09 3.317382 
 2010-02-10  3.34775 
 2010-02-11 3.373264 
 2010-02-12 3.394289 
 2010-02-13 3.411167 
 2010-02-14 3.424253 
 2010-02-15 3.433827 
 2010-02-16 3.440011 
 2010-02-17 3.443562 
 2010-02-18 3.444139 
 2010-02-19 3.442592 
 2010-02-20 3.634465 
 2010-02-21 6.266106 
 2010-02-22 10.97074 
 2010-02-23 12.81608 
 2010-02-24 6.796866 
 2010-02-25 3.959991 
 2010-02-26 3.560314 
 2010-02-27 3.896454 
 2010-02-28  4.79176 
 2010-03-01 4.643747 
 2010-03-02  7.93973 
 2010-03-03 8.539361 
 2010-03-04 4.725161 
 2010-03-05 4.065066 
 2010-03-06 4.066145 
 2010-03-07 4.122526 
 2010-03-08 4.212927 
 2010-03-09 5.110627 
 2010-03-10 4.987983 
 2010-03-11 6.065409 
 2010-03-12 5.607644 
 2010-03-13 6.976298 
 2010-03-14 11.06732 
 2010-03-15 9.023761 
 2010-03-16  5.05886 
 2010-03-17 4.641731 
 2010-03-18 4.678999 
 2010-03-19 4.746343 
 2010-03-20 4.802817 
 2010-03-21 4.902737 
 2010-03-22  5.46316 
 2010-03-23 8.799517 
 2010-03-24 6.805778 
 2010-03-25 5.009223 
 2010-03-26 6.903671 
 2010-03-27 10.54216 
 2010-03-28 5.309011 
 2010-03-29 12.46073 
 2010-03-30 8.032093 
 2010-03-31 5.021888 
 2010-04-01 4.853451 
 2010-04-02 4.899209 
 2010-04-03 4.966197 
 2010-04-04 5.918216 
 2010-04-05  5.88707 
 2010-04-06 6.832669 
 2010-04-07  5.86869 
 2010-04-08  5.24162 
 2010-04-09 20.95556 
 2010-04-10 5.986495 
 2010-04-11 4.689613 
 2010-04-12 4.573008 
 2010-04-13 4.533958 
 2010-04-14 4.493118 
 2010-04-15 4.440465 
 2010-04-16 4.377762 
 2010-04-17 4.374121 
 2010-04-18 4.395918 
 2010-04-19 4.162821 
 2010-04-20  4.05371 
 2010-04-21 3.992307 
 2010-04-22 3.877367 
 2010-04-23 4.207371 
 2010-04-24 4.179273 
 2010-04-25 6.823125 
 2010-04-26 10.36512 
 2010-04-27 5.401592 
 2010-04-28 3.642058 
 2010-04-29  3.35528 
 2010-04-30 3.200438 
 2010-05-01 3.122005 
 2010-05-02 14.18288 
 2010-05-03 7.050361 
 2010-05-04 3.767129 
 2010-05-05 4.340599 
 2010-05-06 3.221088 
 2010-05-07 2.990059 
 2010-05-08 3.623441 
 2010-05-09 3.473818 
 2010-05-10 2.793533 
 2010-05-11 2.643289 
 2010-05-12 9.387588 
 2010-05-13  10.8206 
 2010-05-14 6.349145 
 2010-05-15 3.841219 
 2010-05-16 2.942106 
 2010-05-17 2.998111 
 2010-05-18 4.467125 
 2010-05-19 4.342094 
 2010-05-20 2.642502 
 2010-05-21 2.541729 
 2010-05-22 5.566701 
 2010-05-23 4.419699 
 2010-05-24 2.629021 
 2010-05-25 2.320887 
 2010-05-26 2.291304 
 2010-05-27 2.259319 
 2010-05-28 2.432171 
 2010-05-29 2.364324 
 2010-05-30  2.22626 
 2010-05-31 2.177698 
 2010-06-01 2.307862 
 2010-06-02  2.75847 
 2010-06-03 4.684203 
 2010-06-04 4.437358 
 2010-06-05 2.829343 
 2010-06-06 4.130149 
 2010-06-07 5.875997 
 2010-06-08 2.932312 
 2010-06-09 2.096762 
 2010-06-10 6.955986 
 2010-06-11 3.620162 
 2010-06-12  2.19891 
 2010-06-13 2.373051 
 2010-06-14 4.466512 
 2010-06-15 5.149971 
 2010-06-16 8.013375 
 2010-06-17 5.671469 
 2010-06-18 2.398138 
 2010-06-19 1.784413 
 2010-06-20 4.971639 
 2010-06-21  2.98842 
 2010-06-22 4.218945 
 2010-06-23 11.09848 
 2010-06-24  4.21772 
 2010-06-25 3.122761 
 2010-06-26 2.236984 
 2010-06-27 1.762594 
 2010-06-28  1.75085 
 2010-06-29 6.629673 
 2010-06-30 3.015281 
 2010-07-01 1.924417 
 2010-07-02 1.739193 
 2010-07-03 1.710454 
 2010-07-04 1.706023 
 2010-07-05 1.703284 
 2010-07-06  1.70839 
 2010-07-07 1.690899 
 2010-07-08 1.673509 
 2010-07-09 2.272723 
 2010-07-10 5.174234 
 2010-07-11 2.677623 
 2010-07-12 1.807278 
 2010-07-13 1.951917 
 2010-07-14 2.108351 
 2010-07-15 2.360915 
 2010-07-16 2.204077 
 2010-07-17 7.181179 
 2010-07-18 2.478722 
 2010-07-19 4.846645 
 2010-07-20 2.683885 
 2010-07-21 3.818829 
 2010-07-22 2.449702 
 2010-07-23  1.74592 
 2010-07-24 1.508578 
 2010-07-25 1.852092 
 2010-07-26 8.086181 
 2010-07-27 3.246689 
 2010-07-28 1.632484 
 2010-07-29  1.35437 
 2010-07-30 2.213738 
 2010-07-31 1.736106 
 2010-08-01 1.363249 
 2010-08-02 1.257303 
 2010-08-03 1.218483 
 2010-08-04  2.01538 
 2010-08-05 2.401862 
 2010-08-06 3.929033 
 2010-08-07 2.004058 
 2010-08-08 1.323074 
 2010-08-09 1.164511 
 2010-08-10 1.132851 
 2010-08-11 1.141641 
 2010-08-12 1.128678 
 2010-08-13 1.098355 
 2010-08-14 1.063441 
 2010-08-15 1.055092 
 2010-08-16 1.047533 
 2010-08-17 1.021376 
 2010-08-18 1.009556 
 2010-08-19 1.162359 
 2010-08-20 1.131986 
 2010-08-21    1.015 
 2010-08-22 3.071319 
 2010-08-23 2.394619 
 2010-08-24 1.269847 
 2010-08-25 1.003299 
 2010-08-26 0.9292734 
 2010-08-27 0.9032059 
 2010-08-28 0.8893125 
 2010-08-29 0.8785049 
 2010-08-30 0.8685215 
 2010-08-31 0.8588182 
 2010-09-01 0.8492514 
 2010-09-02 0.8994369 
 2010-09-03 1.045122 
 2010-09-04 2.604162 
 2010-09-05 1.681765 
 2010-09-06 1.035711 
 2010-09-07 0.8580627 
 2010-09-08 0.8034561 
 2010-09-09 0.782785 
 2010-09-10 0.7710295 
 2010-09-11 0.7623388 
 2010-09-12 0.8762395 
 2010-09-13 0.950236 
 2010-09-14 0.8229914 
 2010-09-15 0.7640519 
 2010-09-16 0.7511485 
 2010-09-17 0.7561669 
 2010-09-18 0.7392227 
 2010-09-19 0.7180756 
 2010-09-20 0.7223821 
 2010-09-21 0.7151632 
 2010-09-22 0.6947293 
 2010-09-23 1.092109 
 2010-09-24 1.857889 
 2010-09-25 1.077121 
 2010-09-26 0.8019655 
 2010-09-27 0.9285939 
 2010-09-28 0.860247 
 2010-09-29 0.7262228 
 2010-09-30 0.6715516 
 2010-10-01 0.6427163 
 2010-10-02 0.6282342 
 2010-10-03 0.6848667 
 2010-10-04 0.7856104 
 2010-10-05 0.6924432 
